NO,Reference,Author/s,Year of Publication,Platform,Driving Mode,Cabin Structure & Visibility,Motion DOF,Display Technology,Participant Seating Position,Driver Presence & Visibility,Scenario,Controlled Sensory Focus,Comfort Factor,Comfort Factor - User,Comfort Factor - Vehicle,Measurement Domain,Focus Condition
16,https://doi.org/10.1016/j.apergo.2020.103068,Kuiper et. al,2020,Simulator,Fully Automated,No Cabin,1,No Display,Front Passenger Seat,No Driver,Ride-along,Auditory,User + Vehicle,Situational Awareness,Nausea Reducing Features,Subjective,Motion Sickness
17,https://doi.org/10.1007%2Fs00221-015-4209-9,Keshavarz et. al,2015,Simulator,Fully Automated,No Cabin,0,2D Display,Driver's Seat,No Driver,Ride-along,Olfactory,User + Vehicle,Disposition to Nausea,Nausea Reducing Features,Subjective,Motion Sickness
18,https://doi.org/10.1145/3706599.3720076,Shin et. al,2025,Real-world Driving,Fully Automated,Real non-visible cabin,6,HMD-VR,Rear Passenger Seat,Driver Present-Concealed,NDRT,Visual + Haptic,User + Vehicle,"Task Desirability + 
Situational Awareness +
Visual Focus",Nausea Reducing Features,Subjective,Motion Sickness
19,https://doi.org/10.1145/3529190.3534788,Hwang et. al,2022,Real-world Driving,Wizard-of-Oz,Real-visible cabin,6,2D Display,Front Passenger Seat,Driver Present-Visible,NDRT,Visual,User,Visual Focus,None,Subjective,Motion Sickness
20,http://dx.doi.org/10.1145/3313831.3376247,Dillen et. al,2020,Real-world Driving,Fully Automated,Real-visible cabin,6,2D Display,Front Passenger Seat,Driver Present-Visible,NDRT,Visual + Haptic,User + Vehicle,"Visual Focus + 
Automated Driving Style Preferences",Driving style,Subjective + Physiological + Behavioural,Anxiety
21,http://dx.doi.org/10.3390/ijerph17186821,Wang et.al,2020,Real-world Driving,Wizard-of-Oz,Real-visible cabin,6,No Display,Front Passenger Seat,Driver Present-Visible,Ride-along,Visual + Haptic,User + Vehicle,"Perceived Safety + 
Automated Driving Style Preference",Driving style,Subjective,Discomfort
22,https://doi.org/10.1016/j.trc.2020.02.026,Paddeu et. al,2020,Real-world Driving,Fully Automated,Real-visible cabin,6,No Display,Rear Passenger Seat,No Driver,Ride-along,Haptic,User,Trust,,Subjective,Affectivity
23,https://doi.org/10.1016/j.trf.2024.03.003,Meng et. al,2024,Real-world Driving,Wizard-of-Oz,Real-visible cabin,6,No Display,Front Passenger Seat,Driver Present-Visible,Ride-along,Haptic,User + Vehicle,Perceived Safety,Driving Style,Physiological + Behavioural,Discomfort
24,https://dl.acm.org/doi/10.1145/3640792.3677723,Currano et. al,2024,Simulator,Fully Automated,No Cabin,0,HMD-VR,Driver's Seat,No Driver,Ride-along,Visual,User,Situational Awareness,None,Subjective + Physiological,Mind Wandering
25,https://doi.org/10.1145/3491101.3519741,Togwell et. al,2022,Real-world Driving,Wizard-of-Oz,Real-visible cabin,6,HMD-AR,Rear Passenger Seat,Driver Present-Visible,NDRT,Visual,User,"Task Desirability + 
Situational Awareness +
Visual Focus",None,Subjective,Affectivity 
26,https://doi.org/10.1145/3613904.3642941,Elsharkawy et. al,2024,Real-world Driving,Wizard-of-Oz,Real non-visible cabin,6,HMD-VR,Front Passenger Seat,Driver Present-Concealed,NDRT,Visual + Haptic,User,Disposition to Nausea,None,Subjective + Physiological,Motion Sickness
27,https://doi.org/10.1016/j.trf.2025.103381,Emond et. al,2026,Real-world Driving,Wizard-of-Oz,Real-visible cabin,6,2D Display,Front Passenger Seat,Driver Present-Visible,NDRT,Haptic,User + Vehicle,Disposition to Nausea,Nausea Reducing Features,Subjective + Physiological,Motion Sickness
