File,NO,Reference,Author/s,Year of Publication,Platform,Driving Mode,Cabin Structure & Visibility,Motion DOF,Display Technology,Participant Seating Position,Driver Presence & Visibility,Scenario,Controlled Sensory Focus,Comfort Factor,Comfort Factor - User,Comfort Factor - Vehicle,Measurement Domain,Focus Condition
15.pdf,11,https://doi.org/10.1016/j.trf.2024.06.002,Metzulat et. al,2024,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,No Display,Front Passenger Seat,Driver Present-Visible,NDRT,Visual + Auditory,User,"Task Complexity +
Task Desirability +
Visual Focus",None,Subjective + Behavioural,Motion Sickness
16.pdf,12,https://doi.org/10.1080/00140139.2024.2372704,Wijlens et. al,2024,Simulator,Fully Automated,Cabin Real-Visible,6,Projection,Driver's Seat,No Driver,Ride-along,Visual,User,Situational Awareness,None,Subjective + Behavioural,Motion Sickness
18.pdf,13,https://dl.acm.org/doi/10.1145/3544999.3552488,Pöhlmann et. al,2022,Simulator,Fully Automated,No Cabin,1,HMD-VR,Front Passenger Seat,Driver Present-Concealed,NDRT,Visual,User + Vehicle,"Visual Focus +
Task Complexity","Features Supporting Secondary Activities +
Nausea Reducing Features",Subjective + Behavioural,Motion Sickness
20.pdf,14,https://doi.org/10.1109/ISMAR62088.2024.00118,Li et. al,2024,Real-world Driving,Wizard-of-Oz,Cabin Real-Not Visible,6,HMD-VR,Rear Passenger Seat,Driver Present-Concealed,NDRT,Visual + Haptic,User,Disposition to Nausea,None,Subjective + Physiological + Behavioural,Motion Sickness
21.pdf,15,https://doi.org/10.1016/j.trf.2018.06.046,Karjanto et. al,2018,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,2D Display,Rear Passenger Seat,Driver Present-Concealed,NDRT,Visual,User + Vehicle,"Situational Awareness +
Motion Sickness +
Focus of Visual Attention","Features Supporting Secondary Activities +
Situational Awareness Supporting Features",Subjective,Motion Sickness
22.pdf,16,https://doi.org/10.1016/j.apergo.2020.103068,Kuiper et. al,2020,Simulator,Fully Automated,No Cabin,1,No Display,Front Passenger Seat,No Driver,Ride-along,Auditory,User + Vehicle,Situational Awareness,Nausea Reducing Features,Subjective,Motion Sickness
23.pdf,17,https://doi.org/10.1007%2Fs00221-015-4209-9,Keshavarz et. al,2015,Simulator,Fully Automated,No Cabin,0,2D Display,Driver's Seat,No Driver,Ride-along,Olfactory,User + Vehicle,Disposition to Nausea,Nausea Reducing Features,Subjective,Motion Sickness
24.pdf,18,https://doi.org/10.1145/3706599.3720076,Shin et. al,2025,Real-world Driving,Fully Automated,Cabin Real-Not Visible,6,HMD-VR,Rear Passenger Seat,Driver Present-Concealed,NDRT,Visual + Haptic,User + Vehicle,"Task Desirability + 
Situational Awareness +
Visual Focus",Nausea Reducing Features,Subjective,Motion Sickness
25.pdf,19,https://doi.org/10.1145/3529190.3534788,Hwang et. al,2022,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,2D Display,Front Passenger Seat,Driver Present-Visible,NDRT,Visual,User,Visual Focus,None,Subjective,Motion Sickness
26.pdf,20,http://dx.doi.org/10.1145/3313831.3376247,Dillen et. al,2020,Real-world Driving,Fully Automated,Cabin Real-Visible,6,2D Display,Front Passenger Seat,Driver Present-Visible,NDRT,Visual + Haptic,User + Vehicle,"Visual Focus + 
Automated Driving Style Preferences",Driving style,Subjective + Physiological + Behavioural,Anxiety
27.pdf,21,http://dx.doi.org/10.3390/ijerph17186821,Wang et.al,2020,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,No Display,Front Passenger Seat,Driver Present-Visible,NDRT,Visual + Haptic,User + Vehicle,"Perceived Safety + 
Automated Driving Style Preference",Driving style,Subjective,Discomfort
28.pdf,22,http://dx.doi.org/10.1016/j.trf.2016.05.005,Ballem et. al,2016,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,No Display,Driver's Seat,Participant Driving,Ride-along,Haptic,User + Vehicle,Automated Driving Style Preferences,Driving style,Subjective,Driving Style
29.pdf,23,https://doi.org/10.1016/j.trf.2024.03.003,Meng et. al,2024,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,No Display,Front Passenger Seat,Driver Present-Visible,Ride-along,Haptic,User + Vehicle,Perceived Safety,Driving Style,Physiological + Behavioural,Discomfort
30.pdf,24,https://dl.acm.org/doi/10.1145/3640792.3677723,Currano et. al,2024,Simulator,Fully Automated,No Cabin,0,HMD-VR,Driver's Seat,No Driver,Ride-along,Visual,User,Situational Awareness,None,Subjective + Physiological,Mind Wandering
32,25,https://doi.org/10.1145/3491101.3519741,Togwell et. al,2022,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,HMD-AR,Rear Passenger Seat,Driver Present-Visible,NDRT,Visual,User,"Task Desirability + 
Situational Awareness +
Visual Focus",None,Subjective,Affectivity 
33,26,https://doi.org/10.1145/3613904.3642941,Elsharkawy et. al,2024,Real-world Driving,Wizard-of-Oz,Cabin Real-Not Visible,6,HMD-VR,Front Passenger Seat,Driver Present-Concealed,NDRT,Visual + Haptic,User,Disposition to Nausea,None,Subjective + Physiological,Motion Sickness
