File,NO,Reference,Author/s,Year of Publication,Platform,Driving Mode,Cabin Structure & Visibility,Motion DOF,Display,Participant Seating Position,Driver Presence & Visibility,Scenario,Controlled Sensory Focus,Comfort Factor,Measurement Domain,Focus Condition
22.pdf,16,https://doi.org/10.1016/j.apergo.2020.103068,Kuiper et. al,2020,Simulator,Fully Automated,No Cabin,1,No Display,Front Passenger Seat,No Driver,Ride-along,Auditory,User + Vehicle,Subjective,Motion Sickness
23.pdf,17,https://doi.org/10.1007%2Fs00221-015-4209-9,Keshavarz et. al,2015,Simulator,Fully Automated,No Cabin,0,2D Display,Driver's Seat,No Driver,Ride-along,Olfactory,User + Vehicle,Subjective,Motion Sickness
24.pdf,18,https://doi.org/10.1145/3706599.3720076,Shin et. al,2025,Real-world Driving,Fully Automated,Cabin Real-Not Visible,6,HMD-VR,Rear Passenger Seat,Driver Present-Concealed,NDRT,Visual + Haptic,User + Vehicle,Subjective,Motion Sickness
25.pdf,19,https://doi.org/10.1145/3529190.3534788,Hwang et. al,2022,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,2D Display,Front Passenger Seat,Driver Present-Visible,NDRT,Visual,User,Subjective,Motion Sickness
26.pdf,20,http://dx.doi.org/10.1145/3313831.3376247,Dillen et. al,2020,Real-world Driving,Fully Automated,Cabin Real-Visible,6,2D Display,Front Passenger Seat,Driver Present-Visible,NDRT,Visual + Haptic,User + Vehicle,Subjective + Physiology + Behaviour,Anxiety
27.pdf,21,http://dx.doi.org/10.3390/ijerph17186821,Wang et.al,2020,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,No Display,Front Passenger Seat,Driver Present-Visible,NDRT,Visual + Haptic,User + Vehicle,Subjective,Discomfort
28.pdf,22,http://dx.doi.org/10.1016/j.trf.2016.05.005,Ballem et. al,2016,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,No Display,Driver's Seat,Participant Driving,Ride-along,Haptic,User + Vehicle,Subjective,Driving Style
29.pdf,23,https://doi.org/10.1016/j.trf.2024.03.003,Meng et. al,2024,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,No Display,Front Passenger Seat,Driver Present-Visible,Ride-along,Haptic,User + Vehicle,Physiology + Behaviour,Discomfort
30.pdf,24,https://dl.acm.org/doi/10.1145/3640792.3677723,Currano et. al,2024,Simulator,Fully Automated,No Cabin,0,HMD-VR,Driver's Seat,No Driver,Ride-along,Visual,User,Subjective + Physiology,Mind Wandering
32,25,https://doi.org/10.1145/3491101.3519741,Togwell et. al,2022,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,HMD-AR,Rear Passenger Seat,Driver Present-Visible,NDRT,Visual,User,Subjective,Affectivity 
33,26,https://doi.org/10.1145/3613904.3642941,Elsharkawy et. al,2024,Real-world Driving,Wizard-of-Oz,Cabin Real-Not Visible,6,HMD-VR,Front Passenger Seat,Driver Present-Concealed,NDRT,Visual + Haptic,User,Subjective + Physiology,Motion Sickness
34,27,https://doi.org/10.1016/j.trf.2025.103381,Emond et. al,2026,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,2D Display,Front Passenger Seat,Driver Present-Visible,NDRT,Haptic,User + Vehicle,Subjective + Physiology,Motion Sickness
35,28,https://doi.org/10.3390/s22228616,Jakus et. al,2022,Simulator,Fully Automated,No Cabin,3,HMD-VR,Front Passenger Seat,No Driver,Ride-along,Visual,User,Physiology,Motion Sickness
36,29,10.1109/TVT.2019.2933601,Morra et. al,2019,Simulator,Fully Automated,Cabin Virtual-Visible,2,HMD-VR,Front Passenger Seat,No Driver,Vigilance,Visual,User + Vehicle,Subjective + Physiology,Affectivity
37,30,https://doi.org/10.1109/ISMAR59233.2023.00029,Akiyoshi et. al,2023,Real-world Driving,Fully Automated,Cabin Real-Not Visible,6,HMD-VR,Rear Passenger Seat,No Driver,NDRT,Visual,Vehicle,Subjective,Affectivity + Anxiety + Motion Sickness
38,31,https://dl.acm.org/doi/10.1145/3025453.3026046,McGill et. al,2017,Real-world Driving,Wizard-of-Oz,Cabin Real-Not Visible,6,HMD-VR,Front Passenger Seat,Driver Present-Concealed,Ride-along,Visual,User,Subjective,Motion Sickness
39,32,https://doi.org/10.1016/j.trf.2018.02.036,Bellem et. al,2018,Simulator,Fully Automated,Cabin Real-Visible,6,Projection,Driver's Seat,No Driver,Ride-along,Visual,User + Vehicle,Subjective,Motion Sickness
40,33,https://doi.org/10.4271/2023-01-0788,Su et. al,2023,Simulator,Fully Automated,Cabin Virtual-Visible,0,2D Display,Driver's Seat,No Driver,Ride-along,Visual,User + Vehicle,Subjective,Discomfort
41,34,https://doi.org/10.1145/3613905.3650746,Gim et. al,2024,Real-world Driving,Wizard-of-Oz,Cabin Virtual-Visible,6,HMD-VR,Front Passenger Seat,Driver Present-Concealed,NDRT,Visual,User,Subjective,Motion Sickness
42,35,https://doi.org/10.15187/adr.2019.08.32.3.5,Kim et. al,2019,Real-world Driving,Wizard-of-Oz,Cabin Real-Visible,6,2D Display,Front Passenger Seat,Driver Present-Concealed,NDRT,Visual,User,Subjective,Decision Making
43,36,https://doi.org/10.36463/idw.2022.1004,Charissis,2022,Simulator,Supervised Automation,Cabin Real-Visible,0,Projection,Driver's Seat,Participant Driving,Ride-along,Visual,User + Vehicle,Subjective,Anxiety
44,37,https://doi.org/10.3390/app13084952,Kim et. al,2023,Simulator,Fully Automated,Cabin Virtual-Visible,3,HMD-VR,Front Passenger Seat,No Driver,Ride-along,Visual,User + Vehicle,Subjective + Physiology,Affectivity
45,38,https://dl.acm.org/doi/10.1145/3342197.3344545,Large et. al,2019,Real-world Driving,Fully Automated,Cabin Real-Visible,6,2D Display,Rear Passenger Seat,No Driver,NDRT,Auditory,User + Vehicle,Subjective,Affectivity
46,39,https://doi.org/10.1016/j.apergo.2020.103282,Winkel et. al,2021,Simulator,Fully Automated,Cabin Virtual-Visible,1,Projection,Front Passenger Seat,No Driver,Ride-along,Visual,User + Vehicle,Subjective + Behaviour,Affectivity + Motion Sickness
47,40,https://discovery.ucl.ac.uk/id/eprint/10212163/,Monsuur et. al,2024,Simulator,Fully Automated,Cabin Virtual-Visible,0,HMD-VR,Front Passenger Seat,No Driver,Ride-along,Visual,User + Vehicle,Subjective + Physiology,Affectivity + Anxiety
